"CISControlID","ControlDescription","TotalChecks","PassedChecks","FailedChecks","CompliancePercentage","Status","CriticalIssues","HighIssues","MediumIssues","LowIssues","RemediationRequired"
"1.1","Ensure dedicated server for Vault","0","0","0","N/A","Compliant","0","0","0","0","No"
"1.2","Ensure Vault firewall rules configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"1.3","Ensure unnecessary services disabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"2.1","Ensure strong Master Policy password settings","0","0","0","N/A","Compliant","0","0","0","0","No"
"2.2","Ensure password complexity requirements","0","0","0","N/A","Compliant","0","0","0","0","No"
"2.3","Ensure minimum password length","0","0","0","N/A","Compliant","0","0","0","0","No"
"2.4","Ensure password expiration policy","0","0","0","N/A","Compliant","0","0","0","0","No"
"3.1","Ensure safe access follows least privilege","0","0","0","N/A","Compliant","0","0","0","0","No"
"3.2","Ensure safe member permissions reviewed","0","0","0","N/A","Compliant","0","0","0","0","No"
"3.3","Ensure dual control for sensitive safes","0","0","0","N/A","Compliant","0","0","0","0","No"
"4.1","Ensure automatic password management enabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"4.2","Ensure password rotation schedule","0","0","0","N/A","Compliant","0","0","0","0","No"
"4.3","Ensure reconciliation accounts configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"5.1","Ensure MFA enabled for authentication","0","0","0","N/A","Compliant","0","0","0","0","No"
"5.2","Ensure LDAP uses secure connection","0","0","0","N/A","Compliant","0","0","0","0","No"
"5.3","Ensure session timeout configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"6.1","Ensure PSM session recording enabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"6.2","Ensure PSM isolation configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"7.1","Ensure audit logging enabled","0","0","0","N/A","Compliant","0","0","0","0","No"
"7.2","Ensure SIEM integration configured","0","0","0","N/A","Compliant","0","0","0","0","No"
"7.3","Ensure component monitoring active","0","0","0","N/A","Compliant","0","0","0","0","No"
