"ReportSection","Metric","Value","Details"
"Audit Overview","Target System","https://test.local","CyberArk PVWA endpoint audited"
"Audit Overview","Audit Date","2026-01-16 02:59:53","Timestamp of audit execution"
"Audit Overview","Total Findings","9","Total security checks performed"
"Risk Summary","Critical Findings","0","Immediate action required - potential for complete compromise"
"Risk Summary","High Findings","3","Priority remediation needed - significant security risk"
"Risk Summary","Medium Findings","3","Near-term remediation recommended"
"Risk Summary","Low Findings","0","Address during regular maintenance"
"Risk Summary","Passed Checks","3","Security controls verified as compliant"
"Risk Summary","Skipped Checks","38","Checks requiring manual verification"
"Risk Score","Calculated Risk Score","75","Weighted score: Critical=40, High=20, Medium=5, Low=1"
"Environment","Total Safes Audited","0","Number of safes analyzed"
"Environment","Total Accounts Audited","0","Number of privileged accounts analyzed"
"Environment","Total Users Audited","0","Number of CyberArk users analyzed"
"Environment","Unmanaged Accounts","0","Accounts not under automatic password management"
"Environment","Pending Discovery Accounts","0","Discovered accounts awaiting review"
